word,answer,text_en,text_zh,text_zh_tw,text_ja
cheese,cheese,She likes bread with a little {{}}.,她喜欢面包配一点奶酪。,她喜歡麵包配一點起司。,彼女はパンに少しチーズをのせるのが好きだ。
cherry,cherry,He picked a ripe red {{}} from the tree.,他从树上摘了一颗熟透的红樱桃。,他從樹上摘了一顆熟透的紅櫻桃。,彼は木から熟した赤いさくらんぼをとった。
chicken,chicken,We had roast {{}} for dinner tonight.,我们今晚吃了烤鸡当晚餐。,我們今晚吃了烤雞當晚餐。,今夜はローストチキンを夕食に食べた。
child,child,Every {{}} in the class likes the new teacher.,班上每个孩子都喜欢新老师。,班上每個孩子都喜歡新老師。,クラスのどの子も新しい先生が好きだ。
church,church,The old {{}} stands at the top of the hill.,那座古老的教堂矗立在山顶。,那座古老的教堂矗立在山頂。,古い教会が丘の上に立っている。
city,city,Many people live and work in the big {{}}.,很多人在这座大城市生活和工作。,很多人在這座大城市生活和工作。,多くの人が大きな都市で暮らし働いている。
clean,clean,She likes to keep her room {{}} and tidy.,她喜欢把房间保持干净整洁。,她喜歡把房間保持乾淨整潔。,彼女は部屋をきれいに片づけておくのが好きだ。
climb,climb,They plan to {{}} the mountain this weekend.,他们打算这个周末去爬山。,他們打算這個週末去爬山。,彼らは今週末その山に登る予定だ。
clock,clock,The old {{}} on the wall stopped last night.,墙上那个旧钟昨晚停了。,牆上那個舊鐘昨晚停了。,壁の古い時計は昨夜止まった。
close,close,Please {{}} the door quietly when you leave.,离开时请轻轻关门。,離開時請輕輕關門。,出るときは静かにドアを閉めてください。
cloud,cloud,A dark {{}} covered the afternoon sun.,一朵乌云遮住了午后的太阳。,一朵烏雲遮住了午後的太陽。,黒い雲が午後の太陽を覆った。
coat,coat,He put on a warm {{}} before going out.,他出门前穿上一件暖和的外套。,他出門前穿上一件暖和的外套。,彼は出かける前に暖かいコートを着た。
coin,coin,She dropped a small {{}} on the floor.,她把一枚小硬币掉在地上。,她把一枚小硬幣掉在地上。,彼女は小さな硬貨を床に落とした。
cold,cold,The water in the river is very {{}}.,河里的水非常冷。,河裡的水非常冷。,川の水はとても冷たい。
computer,computer,He works on his {{}} all day long.,他整天都在用电脑工作。,他整天都在用電腦工作。,彼は一日中パソコンで仕事をしている。
cook,cook,My mother will {{}} dinner for us tonight.,今晚我妈妈会为我们做晚饭。,今晚我媽媽會為我們做晚飯。,今夜は母が私たちに夕食を作ってくれる。
cookie,cookie,The child wanted one more sweet {{}}.,那孩子还想再吃一块甜饼干。,那孩子還想再吃一塊甜餅乾。,その子はもう一枚甘いクッキーが欲しかった。
cool,cool,The evening breeze feels fresh and {{}}.,傍晚的微风清新凉爽。,傍晚的微風清新涼爽。,夕方のそよ風は爽やかで涼しい。
cow,cow,The {{}} is eating grass in the green field.,那头牛在绿色的田野里吃草。,那頭牛在綠色的田野裡吃草。,牛が緑の野原で草を食べている。
cup,cup,She poured tea into a white {{}}.,她把茶倒进一个白色杯子里。,她把茶倒進一個白色杯子裡。,彼女は白いカップにお茶を注いだ。
cut,cut,Please be careful when you {{}} the bread.,切面包时请小心。,切麵包時請小心。,パンを切るときは気をつけて。
dance,dance,They love to {{}} together at the party.,他们喜欢在派对上一起跳舞。,他們喜歡在派對上一起跳舞。,彼らはパーティーで一緒に踊るのが好きだ。
dark,dark,The room became very {{}} after sunset.,日落后房间变得很暗。,日落後房間變得很暗。,日が沈むと部屋はとても暗くなった。
desert,desert,Very few plants grow in the dry {{}}.,干燥的沙漠里几乎没有植物生长。,乾燥的沙漠裡幾乎沒有植物生長。,乾いた砂漠にはほとんど植物が育たない。
desk,desk,His books are neatly placed on the {{}}.,他的书整齐地放在书桌上。,他的書整齊地放在書桌上。,彼の本は机の上にきちんと置かれている。
dirty,dirty,His shoes were {{}} after the long walk.,走了很远后他的鞋子很脏。,走了很遠後他的鞋子很髒。,長い散歩のあと彼の靴は汚れていた。
dog,dog,The {{}} runs happily in the park.,那只狗在公园里开心地奔跑。,那隻狗在公園裡開心地奔跑。,犬は公園で楽しそうに走っている。
door,door,Someone is knocking on the front {{}}.,有人在敲前门。,有人在敲前門。,誰かが玄関のドアをたたいている。
draw,draw,The children like to {{}} pictures of animals.,孩子们喜欢画动物的图画。,孩子們喜歡畫動物的圖畫。,子供たちは動物の絵を描くのが好きだ。
drawer,drawer,She keeps her socks in the top {{}}.,她把袜子放在最上面的抽屉里。,她把襪子放在最上面的抽屜裡。,彼女は靴下を一番上の引き出しにしまっている。
dress,dress,She bought a beautiful blue {{}} for the party.,她为派对买了一条漂亮的蓝裙子。,她為派對買了一條漂亮的藍裙子。,彼女はパーティーのためにきれいな青いドレスを買った。
drink,drink,You should {{}} plenty of water when it is hot.,天热时你应该多喝水。,天熱時你應該多喝水。,暑いときは水をたくさん飲むべきだ。
drive,drive,He will {{}} us to the airport tomorrow.,他明天会开车送我们去机场。,他明天會開車送我們去機場。,彼は明日私たちを空港まで車で送ってくれる。
driver,driver,The bus {{}} greeted every passenger kindly.,公车司机亲切地问候每位乘客。,公車司機親切地問候每位乘客。,バスの運転手は乗客一人ひとりに優しく挨拶した。
dry,dry,The clothes are already {{}} in the sun.,衣服在太阳下已经干了。,衣服在太陽下已經乾了。,服はもう日なたで乾いている。
duck,duck,A yellow {{}} is swimming on the lake.,一只黄色的鸭子在湖上游。,一隻黃色的鴨子在湖上游。,黄色いアヒルが湖で泳いでいる。
ear,ear,The dog raised one {{}} at the strange sound.,狗听到奇怪的声音竖起一只耳朵。,狗聽到奇怪的聲音豎起一隻耳朵。,犬は変な音に片方の耳を立てた。
easy,easy,The homework today was quite {{}}.,今天的作业相当简单。,今天的作業相當簡單。,今日の宿題はかなり簡単だった。
eat,eat,We usually {{}} dinner at seven o'clock.,我们通常七点吃晚饭。,我們通常七點吃晚飯。,私たちはたいてい七時に夕食を食べる。
egg,egg,He had a boiled {{}} for breakfast.,他早餐吃了一个水煮蛋。,他早餐吃了一個水煮蛋。,彼は朝食にゆで卵を食べた。
elephant,elephant,The huge gray {{}} drank water from the river.,那头灰色的大象从河里喝水。,那頭灰色的大象從河裡喝水。,大きな灰色の象が川の水を飲んだ。
eraser,eraser,May I borrow your {{}} for a moment?,我可以借一下你的橡皮擦吗？,我可以借一下你的橡皮擦嗎？,少し消しゴムを借りてもいいですか。
eye,eye,He closed his right {{}} to look through the hole.,他闭上右眼从洞里看。,他閉上右眼從洞裡看。,彼は右目を閉じて穴からのぞいた。
face,face,She washed her {{}} with cold water.,她用冷水洗脸。,她用冷水洗臉。,彼女は冷たい水で顔を洗った。
factory,factory,Many people work in that large {{}}.,很多人在那家大工厂工作。,很多人在那家大工廠工作。,多くの人がその大きな工場で働いている。
farm,farm,They grow vegetables on their small {{}}.,他们在自己的小农场种蔬菜。,他們在自己的小農場種蔬菜。,彼らは小さな農場で野菜を育てている。
farmer,farmer,The {{}} works hard in the field all day.,农夫整天在田里辛勤工作。,農夫整天在田裡辛勤工作。,農夫は一日中畑で一生懸命働く。
fast,fast,That new train is very {{}}.,那列新火车非常快。,那列新火車非常快。,その新しい電車はとても速い。
father,father,My {{}} reads the newspaper every morning.,我爸爸每天早上看报纸。,我爸爸每天早上看報紙。,私の父は毎朝新聞を読む。
field,field,The horses are running in the open {{}}.,马儿在开阔的田野里奔跑。,馬兒在開闊的田野裡奔跑。,馬が広い野原を走っている。
finger,finger,She cut her {{}} while slicing the apple.,她切苹果时割到了手指。,她切蘋果時割到了手指。,彼女はりんごを切っていて指を切った。
fish,fish,Many small {{}} swim in the clear lake.,许多小鱼在清澈的湖里游。,許多小魚在清澈的湖裡游。,たくさんの小さな魚が澄んだ湖で泳いでいる。
floor,floor,The children are playing on the {{}}.,孩子们在地板上玩耍。,孩子們在地板上玩耍。,子供たちは床で遊んでいる。
flower,flower,She picked a red {{}} from the garden.,她从花园里摘了一朵红花。,她從花園裡摘了一朵紅花。,彼女は庭から赤い花を一輪摘んだ。
fly,fly,The little bird learned to {{}} last week.,那只小鸟上周学会了飞。,那隻小鳥上週學會了飛。,その小鳥は先週飛ぶことを覚えた。
foot,foot,He hurt his {{}} while playing basketball.,他打篮球时伤到了脚。,他打籃球時傷到了腳。,彼はバスケをしていて足を痛めた。
fork,fork,Please eat the cake with a {{}}.,请用叉子吃蛋糕。,請用叉子吃蛋糕。,ケーキはフォークで食べてください。
frog,frog,A green {{}} jumped into the pond.,一只绿青蛙跳进了池塘。,一隻綠青蛙跳進了池塘。,緑のカエルが池に飛び込んだ。
game,game,The children played a fun {{}} after school.,孩子们放学后玩了一个有趣的游戏。,孩子們放學後玩了一個有趣的遊戲。,子供たちは放課後に楽しいゲームをした。
gate,gate,He closed the garden {{}} before leaving.,他离开前关上了花园的门。,他離開前關上了花園的門。,彼は出る前に庭の門を閉めた。
gift,gift,She gave me a lovely {{}} on my birthday.,她在我生日时送了我一份可爱的礼物。,她在我生日時送了我一份可愛的禮物。,彼女は私の誕生日に素敵な贈り物をくれた。
glove,glove,He wore a thick {{}} on each cold hand.,他冰冷的双手各戴着一只厚手套。,他冰冷的雙手各戴著一隻厚手套。,彼は冷えた両手に厚い手袋をはめていた。
gold,gold,The ring is made of pure {{}}.,那枚戒指是用纯金做的。,那枚戒指是用純金做的。,その指輪は純金でできている。
grape,grape,She washed a bunch of green {{}}.,她洗了一串绿葡萄。,她洗了一串綠葡萄。,彼女は緑のぶどうを一房洗った。
grass,grass,The children sat on the soft green {{}}.,孩子们坐在柔软的绿草上。,孩子們坐在柔軟的綠草上。,子供たちは柔らかい緑の草の上に座った。
gray,gray,The winter sky was cloudy and {{}}.,冬天的天空多云而灰暗。,冬天的天空多雲而灰暗。,冬の空は曇って灰色だった。
green,green,The leaves turn bright {{}} in spring.,叶子在春天变成鲜绿色。,葉子在春天變成鮮綠色。,葉は春に鮮やかな緑になる。
hair,hair,She has long black {{}}.,她有一头乌黑的长发。,她有一頭烏黑的長髮。,彼女は長い黒髪をしている。
hand,hand,He raised his {{}} to ask a question.,他举起手提问。,他舉起手提問。,彼は質問するために手を挙げた。
hard,hard,The math test was really {{}} this time.,这次数学考试真的很难。,這次數學考試真的很難。,今回の数学のテストは本当に難しかった。
hat,hat,He wears a big straw {{}} in summer.,他夏天戴一顶大草帽。,他夏天戴一頂大草帽。,彼は夏に大きな麦わら帽子をかぶる。
head,head,She turned her {{}} to look at the door.,她转过头看向门口。,她轉過頭看向門口。,彼女はドアを見ようと頭を向けた。
heart,heart,After running fast his {{}} was beating hard.,快跑之后他的心跳得很厉害。,快跑之後他的心跳得很厲害。,速く走ったあと彼の心臓は激しく打っていた。
heavy,heavy,This box is too {{}} for me to lift.,这个箱子太重了我搬不动。,這個箱子太重了我搬不動。,この箱は重すぎて私には持ち上げられない。
hill,hill,They walked up the green {{}} slowly.,他们慢慢走上绿色的小山。,他們慢慢走上綠色的小山。,彼らは緑の丘をゆっくり登った。
home,home,She stayed at {{}} all day because of the rain.,因为下雨她一整天都待在家里。,因為下雨她一整天都待在家裡。,雨のせいで彼女は一日中家にいた。
honey,honey,He put some sweet {{}} in his tea.,他在茶里加了一些甜蜂蜜。,他在茶裡加了一些甜蜂蜜。,彼はお茶に甘いはちみつを入れた。
horse,horse,A white {{}} is running across the field.,一匹白马正跑过田野。,一匹白馬正跑過田野。,白い馬が野原を駆け抜けている。
hospital,hospital,The doctor works at a big city {{}}.,那位医生在一家大城市医院工作。,那位醫生在一家大城市醫院工作。,その医者は大きな市の病院で働いている。
hot,hot,The soup is still too {{}} to drink.,汤还太烫不能喝。,湯還太燙不能喝。,スープはまだ熱すぎて飲めない。
hotel,hotel,We stayed at a small {{}} near the beach.,我们住在海滩附近的一家小旅馆。,我們住在海灘附近的一家小旅館。,私たちは海の近くの小さなホテルに泊まった。
hour,hour,The meeting lasted for one whole {{}}.,会议持续了整整一个小时。,會議持續了整整一個小時。,会議はまるまる一時間続いた。
hungry,hungry,The children were very {{}} after the game.,孩子们比赛后非常饿。,孩子們比賽後非常餓。,子供たちは試合のあととてもお腹が空いていた。
jacket,jacket,He put on a warm {{}} before the walk.,散步前他穿上了一件暖和的夹克。,散步前他穿上了一件暖和的夾克。,散歩の前に彼は暖かいジャケットを着た。
juice,juice,She drank a glass of fresh orange {{}}.,她喝了一杯新鲜的橙汁。,她喝了一杯新鮮的橙汁。,彼女は搾りたてのオレンジジュースを一杯飲んだ。
jump,jump,The dog can {{}} over the low wall.,那只狗能跳过矮墙。,那隻狗能跳過矮牆。,その犬は低い壁を飛び越えられる。
key,key,He lost the {{}} to the front door.,他把前门的钥匙弄丢了。,他把前門的鑰匙弄丟了。,彼は玄関の鍵をなくした。
kitchen,kitchen,Mother is cooking soup in the {{}}.,妈妈正在厨房里煮汤。,媽媽正在廚房裡煮湯。,母は台所でスープを作っている。
knee,knee,He fell and hurt his {{}} on the road.,他摔倒了在路上伤到膝盖。,他摔倒了在路上傷到膝蓋。,彼は転んで道で膝を痛めた。
knife,knife,Please cut the apple with a sharp {{}}.,请用锋利的刀切苹果。,請用鋒利的刀切蘋果。,鋭いナイフでりんごを切ってください。
lake,lake,They went fishing at the quiet {{}}.,他们去安静的湖边钓鱼。,他們去安靜的湖邊釣魚。,彼らは静かな湖へ釣りに行った。
lamp,lamp,She turned on the {{}} to read her book.,她打开台灯看书。,她打開檯燈看書。,彼女は本を読むためにランプをつけた。
leaf,leaf,A yellow {{}} fell slowly from the tree.,一片黄叶从树上缓缓落下。,一片黃葉從樹上緩緩落下。,黄色い葉が木からゆっくり落ちた。
leg,leg,The table has one broken {{}}.,那张桌子有一条腿断了。,那張桌子有一條腿斷了。,そのテーブルは脚が一本折れている。
lemon,lemon,She squeezed a sour {{}} into the water.,她把一个酸柠檬挤进水里。,她把一個酸檸檬擠進水裡。,彼女は酸っぱいレモンを水に搾った。
library,library,He borrowed three books from the {{}}.,他从图书馆借了三本书。,他從圖書館借了三本書。,彼は図書館から本を三冊借りた。
lion,lion,The {{}} is a strong wild animal.,狮子是一种强壮的野生动物。,獅子是一種強壯的野生動物。,ライオンは強い野生動物だ。
long,long,She has very {{}} black hair.,她有一头很长的黑发。,她有一頭很長的黑髮。,彼女はとても長い黒髪をしている。
loud,loud,The music was too {{}} at the party.,派对上的音乐太吵了。,派對上的音樂太吵了。,パーティーの音楽はうるさすぎた。
map,map,He looked at the {{}} to find the road.,他看着地图寻找那条路。,他看著地圖尋找那條路。,彼は道を探すために地図を見た。
melon,melon,We shared a sweet {{}} on the hot day.,炎热的日子里我们分吃了一个甜瓜。,炎熱的日子裡我們分吃了一個甜瓜。,暑い日に私たちは甘いメロンを分け合った。
milk,milk,The baby drinks warm {{}} before bed.,宝宝睡前喝温牛奶。,寶寶睡前喝溫牛奶。,赤ちゃんは寝る前に温かいミルクを飲む。
minute,minute,Please wait one {{}} while I finish this.,请等一分钟让我做完这个。,請等一分鐘讓我做完這個。,これを終えるまで一分待ってください。
mirror,mirror,She looked at herself in the {{}}.,她照着镜子看自己。,她照著鏡子看自己。,彼女は鏡で自分を見た。
mix,mix,{{}} the flour and eggs together well.,把面粉和鸡蛋充分搅拌均匀。,把麵粉和雞蛋充分攪拌均勻。,小麦粉と卵をよく混ぜてください。
monkey,monkey,A little {{}} is climbing the tall tree.,一只小猴子正在爬高高的树。,一隻小猴子正在爬高高的樹。,小さな猿が高い木を登っている。
month,month,We will move to a new house next {{}}.,我们下个月要搬进新房子。,我們下個月要搬進新房子。,私たちは来月新しい家に引っ越す。
moon,moon,The {{}} is bright and round tonight.,今晚的月亮又亮又圆。,今晚的月亮又亮又圓。,今夜の月は明るくて丸い。
mother,mother,My {{}} makes delicious soup every Sunday.,我妈妈每个星期天都做美味的汤。,我媽媽每個星期天都做美味的湯。,母は毎週日曜においしいスープを作る。
mouse,mouse,A little gray {{}} ran under the table.,一只灰色的小老鼠跑到桌子底下。,一隻灰色的小老鼠跑到桌子底下。,小さな灰色のネズミがテーブルの下へ走った。
mouth,mouth,She covered her {{}} and yawned.,她捂住嘴打了个哈欠。,她摀住嘴打了個哈欠。,彼女は口を覆ってあくびをした。
